0,92,67
1,91,65
2,90,65
3,90,64
4,90,64
5,89,65
6,89,65
7,87,65
8,87,66
9,88,64
10,88,64
11,87,64
12,88,64
13,87,65
14,86,62
15,85,61
16,85,62
17,88,60
18,87,59
19,88,62
20,88,61
21,88,61
22,89,61
23,90,62
24,91,64
25,93,62
26,91,63
27,92,61
28,94,62
29,95,61
30,94,61
31,93,63
32,95,61
33,93,61
34,94,61
35,92,60
36,95,60
37,95,63
38,97,64
39,95,62
40,93,62
41,93,64
42,92,64
43,92,62
44,89,65
45,87,64
46,84,62
47,81,64
48,78,65
49,75,64
50,77,66
51,74,66
52,74,67
53,71,68
54,70,70
55,70,70
56,67,68
57,64,70
58,64,73
59,61,72
60,62,71
61,62,72
62,61,74
63,62,75
64,62,73
65,61,75
66,61,74
67,62,73
68,64,74
69,65,75
70,65,74
71,64,73
72,64,71
73,64,71
74,65,70
75,65,69
76,67,67
77,69,68
78,70,65
79,69,64
80,72,63
81,74,62
82,75,58
83,75,59
84,81,61
85,84,62
86,86,62
87,88,61
88,91,60
89,94,61
90,96,61
91,102,63
92,104,64
93,105,63
94,109,59
95,111,60
96,112,60
97,111,57
98,113,58
99,110,59
100,108,60
101,108,59
102,106,62
103,103,61
104,102,60
105,97,64
106,96,62
107,94,62
108,90,61
109,90,61
110,87,61
111,85,61
112,83,60
113,81,59
114,81,60
115,79,57
116,78,61
117,79,58
118,78,60
119,78,58
120,77,58
121,76,58
122,75,57
123,75,59
124,75,57
125,74,57
126,75,57
127,75,55
128,75,58
129,74,58
130,74,56
131,74,56
132,73,56
133,72,57
134,75,57
135,75,56
136,74,57
137,73,56
138,74,55
139,76,56
140,76,57
141,75,56
142,77,55
143,79,57
144,79,55
145,79,55
146,81,54
147,82,55
148,82,55
149,83,54
150,82,53
151,82,54
152,83,55
153,83,53
154,82,55
155,81,55
156,82,55
157,82,55
158,82,55
159,81,55
160,80,54
161,80,57
162,82,57
163,81,56
164,81,57
165,82,58
166,82,60
167,80,59
168,82,60
169,83,60
170,84,60
171,84,61
172,83,61
173,85,61
174,85,62
175,86,64
176,86,65
177,85,65
178,84,65
179,86,66
180,84,64
181,85,64
182,85,66
183,88,66
184,88,66
185,90,67
186,91,67
187,91,68
188,92,70
189,94,71
190,92,71
191,94,74
192,96,77
193,95,77
194,99,78
195,100,80
196,102,80
197,104,83
198,105,84
199,104,81
200,105,83
201,106,86
202,109,86
203,112,88
204,113,90
205,114,88
206,115,88
207,116,84
208,117,82
209,119,81
210,117,80
211,115,78
212,111,76
213,106,75
214,103,74
215,98,72
216,94,72
217,90,71
218,86,68
219,84,66
220,80,67
221,78,67
222,74,69
223,71,67
224,69,67
225,68,67
226,67,68
227,66,68
228,64,69
229,63,69
230,63,69
231,64,70
232,66,70
233,67,68
234,69,68
235,73,72
236,74,70
237,75,67
238,79,68
239,80,69
240,82,69
241,84,73
242,85,69
243,86,70
244,86,70
245,87,73
246,88,72
247,89,72
248,90,72
249,89,70
250,87,69
251,87,66
252,86,65
253,86,69
254,86,68
255,85,67
256,84,68
